year,mine.name,mine.state,countystr,mine.basin,mine.status,mine.type,company.type,operation.type,operating.company,operating.company.address,union.code,production.stons,average.employees,labor.hours,ARC
2006,No. 3 Mine,Virginia,Dickenson,Appalachia Central,"Active, men working, not producing",Underground,Contractor,Mine only,"Apple Jacks Coal Company, Inc.","P.O. Box 584, N. Tazewell, VA 24630",,"40,417",13,"21,374",1
2006,Bristol 8 Mine,Virginia,Dickenson,Appalachia Central,Mine closed by MSHA,Underground,Indepedent Producer Operator,Mine only,Banner Company,"P.O. Box 1426, Grundy, VA 24614",,"5,680",10,"7,395",1
2006,Mine No 7,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Contractor,Mine only,FourO-Mining Company Inc,"P.O. Box 148, Vansant, VA 24656",,"22,214",12,"8,040",1
2006,Roaring Fork No. 3,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",,"155,741",48,"73,871",1
2005,No. 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,L & J Equipment Company,"Rt 1 Box 68, Honaker, VA 24260",,"103,817",19,"40,250",1
2005,Mine No 7,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,FourO-Mining Company Inc,"P.O. Box 148, Vansant, VA 24656",,"66,681",13,"21,311",1
2005,Nme,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,Estep Coal Company Inc,"P.O. Box 1025, Grundy, VA 24614",,"65,107",16,"43,443",1
2005,Mine No. 9,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,C. S. & S. Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,"86,428",12,"28,632",1
2005,No 8,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,Bristol Coal Corp,"P.O. Box 1426, Grundy, VA 24614",,"71,236",15,"29,551",1
2005,Lambert Coal Prep Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Lambert Coal Company Inc,"P.O. Box 490, Nora, VA 24272",,0,1,773,1
2005,No 2,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Black Dog Coal Corporation,"P.O. Box 1578, Coeburn, VA 24230",,"112,005",43,"78,161",1
2005,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,0,38,"73,229",1
2005,Nora Preparation Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,Rapoca Group Llc,"2700 Lee Highway, Bristol, VA 24202",,0,11,"26,688",1
2005,Laurel Mountain,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"431,995",81,"173,618",1
2005,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"540,032",108,"239,454",1
2005,No. 3 Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,"Apple Jacks Coal Company, Inc.","P.O. Box 584, N. Tazewell, VA 24630",,"42,967",15,"18,235",1
2005,Roaring Fork No. 3,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",,"467,101",93,"187,205",1
2005,#44,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Gbl Enterprises Inc,"P.O. Box 490, Nora, VA 24272",,"8,400",5,"5,308",1
2005,Mine #3,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Champion Coal Co Inc,"P.O. Box 3267, Wise, VA 24293",,"8,128",16,"4,630",1
2005,Mine No 3,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Double A Mining Inc,"P.O. Box 30, Newhall, WV 24866",,"4,502",7,"3,260",1
2005,#1,Virginia,Dickenson,Appalachia Central,Permanently abandoned,Underground,Indepedent Producer Operator,Mine only,Triple M Mining Inc,"P.O. Box 336, Clincho, VA 24226",,"12,667",12,"11,317",1
2004,No. 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,L & J Equipment Company,"Rt 1 Box 68, Honaker, VA 24260",,"96,665",18,"38,988",1
2004,Mine No 7,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,FourO-Mining Company Inc,"P.O. Box 148, Vansant, VA 24656",,"68,627",14,"24,322",1
2004,#44,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Gbl Enterprises, Inc.","P. O. Box 490, Nora, VA 24272",,"56,560",11,"24,267",1
2004,Nme,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,Estep Coal Company Inc,"P.O. Box 1025, Grundy, VA 24614",,"79,426",15,"44,112",1
2004,Lambert Coal Prep Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Lambert Coal Company Inc,"P.O. Box 490, Nora, VA 24272",,0,2,"4,490",1
2004,Nora Prep. Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Rapoca Energy Company,"Rt 1 Box 80, Nora, VA 24272",,0,8,"21,288",1
2004,No 2,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Black Dog Coal Corporation,"P.O. Box 1578, Coeburn, VA 24230",,"121,230",31,"69,422",1
2004,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,0,36,"69,512",1
2004,Laurel Mountain,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"345,574",63,"140,250",1
2004,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"489,185",93,"216,355",1
2004,No. 3 Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,"Apple Jacks Coal Company, Inc.","P.O. Box 584, N. Tazewell, VA 24630",,"44,700",14,"14,501",1
2004,Roaring Fork No. 3,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",,"520,239",85,"171,500",1
2004,No 8,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Bristol Coal Corp,"P.O. Box 1426, Grundy, VA 24614",,"104,515",14,"30,832",1
2004,Mine #3,Virginia,Dickenson,Appalachia Central,Mine closed by MSHA,Underground,Contractor,Mine only,Champion Coal Co Inc,"P.O. Box 3267, Wise, VA 24293",,"135,434",18,"34,908",1
2004,Mine #1,Virginia,Dickenson,Appalachia Central,Mine closed by MSHA,Underground,Contractor,Mine only,Kelly Branch Resources Inc.,"P.O. Box 3190, Wise, VA 24293",,"67,706",16,"24,274",1
2003,No. 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,L & J Equipment Company,"Rt 1 Box 68, Honaker, VA 24260",,"124,479",18,"37,143",1
2003,Mine No 7,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,FourO-Mining Company Inc,"P.O. Box 148, Vansant, VA 24656",,"62,646",14,"19,546",1
2003,#44,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Gbl Enterprises, Inc.","P. O. Box 490, Nora, VA 24272",,"62,529",11,"26,444",1
2003,Mine #3,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,Champion Coal Co Inc,"P O Box 3267, Wise, VA 24293",,"21,210",16,"5,844",1
2003,No. 3 Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Apple Jacks Coal Company, Inc.","P.O. Box 584, N. Tazewell, VA 24630",,"54,322",12,"15,020",1
2003,Nme,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Estep Coal Co., Inc.","P. O. Box 1025, Grundy, VA 24614",,"88,837",16,"44,338",1
2003,Mine #1,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,Kelly Branch Resources Incorpo,"P.O. Box 3190, Wise, VA 24293",,"37,988",13,"14,394",1
2003,Lambert Coal Prep Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Lambert Coal Company Inc,"P.O. Box 490, Nora, VA 24272",,0,3,"6,199",1
2003,Nora Prep. Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Rapoca Energy Company,"Rt 1 Box 80, Nora, VA 24272",,0,2,"5,694",1
2003,Tipple No 2,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Preparation Plant,Virginia City Enterprises Inc,"5741 Cranes Nest Rd, Coeburn, VA 24230",,0,1,"3,445",1
2003,No 8,Virginia,Dickenson,Appalachia Central,Active,Underground,Indepedent Producer Operator,Mine only,Bristol Coal Corp,"P.O. Box 1426, Grundy, VA 24614",,"21,292",6,"6,625",1
2003,Mine No 2,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,Black Dog Coal Corp,"P.O. Box 827, Grundy, VA 24614",,"111,044",22,"44,528",1
2003,Mc Clure River  Plant,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Preparation Plant,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,0,34,"62,415",1
2003,Laurel Mountain,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"345,189",60,"128,740",1
2003,Cherokee Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",United Mine Workers of America,"471,078",91,"196,466",1
2003,Roaring Fork No. 3,Virginia,Dickenson,Appalachia Central,Active,Underground,Operating Subsidiary,Mine only,DickensonRussell Coal Company,"Rt. 2, Box 73, Cleveland, VA 24225",,"578,006",72,"155,335",1
2003,No. 3,Virginia,Dickenson,Appalachia Central,Mine closed by MSHA,Underground,Contractor,Mine only,"Cove Coal Co., Inc.","P.O. Box 250, Richlands, VA 24641",,"28,846",10,"17,671",1
2003,No 1,Virginia,Dickenson,Appalachia Central,Temporarily closed,Underground,Indepedent Producer Operator,Mine only,Champion Coal Company Inc,"P.O. Box 3267, Wise, VA 24293",,"53,300",13,"19,633",1
2002,No. 4,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,L & J Equipment Company,"Rt. 2 Box 351, Honaker, VA 24260",,"76,068",17,"30,285",1
2002,Mine No 7,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,FourO-Mining Company Inc,"P.O. Box 148, Vansant, VA 24656",,"65,056",13,"23,113",1
2002,#44,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Gbl Enterprises, Inc.","P. O. Box 490, Nora, VA 24272",,"52,043",12,"23,658",1
2002,No. 3,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Cove Coal Co., Inc.","P.O. Box 250, Richlands, VA 24641",,"40,897",13,"23,055",1
2002,#1,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Providence Mining, Inc.","P.O. Box 558, Norton, VA 24273",,"35,414",17,"25,796",1
2002,No. 3 Mine,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Apple Jacks Coal Company, Inc.","P. O. Box 776, Grundy, VA 24614",,"37,065",9,"15,526",1
2002,Nme,Virginia,Dickenson,Appalachia Central,Active,Underground,Contractor,Mine only,"Estep Coal Co., Inc.","P. O. Box 1025, Grundy, VA 24614",,"73,202",16,"44,853",1
