"","year","mine.name","mine.state","countystr","mine.status","operation.type","operating.company","production.stons","average.employees","labor.hours","total.stons","total.employee"
"120",2007,"No. 2","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co., Inc.",379,27,"56,171",5181,1031
"121",2007,"Rb #12","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",44,23,"55,541",5181,1031
"122",2007,"Mine No 1","Kentucky (East)","Harlan","Active","Mine only","Conshor Mining Llc",121,30,"49,420",5181,1031
"123",2007,"Mine #2","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining, Llc",212,37,"99,229",5181,1031
"124",2007,"No 3","Kentucky (East)","Harlan","Active","Mine only","A & M Coal Co Inc",291,14,"30,087",5181,1031
"125",2007,"P1","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining",113,11,"5,279",5181,1031
"126",2007,"C5","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company Inc.",210,19,"21,650",5181,1031
"127",2007,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cave Spur Coal Llc",186,36,"92,280",5181,1031
"128",2007,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Panther Mining Llc",280,70,"180,436",5181,1031
"129",2007,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Cloverlick Coal Company Llc",342,69,"182,656",5181,1031
"130",2007,"Clover Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",6,106,"271,017",5181,1031
"131",2006,"Mine #2","Kentucky (East)","Harlan","Active","Mine only","Orion Resources Inc.",26,24,"51,077",6746,1244
"132",2006,"Highsplint","Kentucky (East)","Harlan","Active","Mine only","Parton Bros. Contracting Inc.",87,25,"40,880",6746,1244
"133",2006,"Mine No 3","Kentucky (East)","Harlan","Active","Mine only","H & D Mining Inc",75,26,"37,220",6746,1244
"134",2006,"Bardo #1","Kentucky (East)","Harlan","Active","Mine only","Bardo Mining Llc",122,58,"153,862",6746,1244
"135",2006,"Liggett #2","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",131,64,"167,849",6746,1244
"136",2006,"Liggett #3","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",155,64,"171,429",6746,1244
"137",2006,"Liggett #4a","Kentucky (East)","Harlan","Active","Mine only","Liggett Mining Llc",396,33,"68,650",6746,1244
"138",2006,"Darby Fork No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",314,102,"268,849",6746,1244
"139",2006,"Rb #4","Kentucky (East)","Harlan","Active","Mine only","Manalapan Mining Co., Inc.",49,21,"57,438",6746,1244
"140",2006,"C3 Mine","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",328,16,"41,907",6746,1244
"141",2006,"K4","Kentucky (East)","Harlan","Active","Mine only","Rex Coal Company, Inc.",336,11,"30,321",6746,1244
"142",2006,"Mine #1","Kentucky (East)","Harlan","Active","Mine only","Stillhouse Mining Llc",252,76,"180,396",6746,1244
"143",2006,"Huff Creek No 1","Kentucky (East)","Harlan","Active","Mine only","Lone Mountain Processing Inc",360,142,"391,935",6746,1244
"144",2006,"No 18","Kentucky (East)","Harlan","Active","Mine only","Harlan Cumberland Coal Company",391,17,"51,259",6746,1244
